what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1359281259068
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1359281259068
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1359281259068
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1359281259068
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1359281259068
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1359281259068
started,bundle,com.google.gdt.eclipse.designer,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer",1359281259068
started,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT",1359281259068
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.SmartGWT",1359281259068
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer.UiBinder",1359281259068
started,bundle,com.google.gdt.eclipse.designer.hosted,2.6.0.r37x201206111222,"com.google.gdt.eclipse.designer.hosted",1359281259068
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1359281259068
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1359281259068
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1359281259069
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1359281259069
os,sysinfo,,,"linux",1359281259071
arch,sysinfo,,,"x86_64",1359281259071
ws,sysinfo,,,"gtk",1359281259071
locale,sysinfo,,,"en_US",1359281259071
processors,sysinfo,,,"4",1359281259071
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1359281259071
java.runtime.version,sysinfo,,,"1.7.0_09-b30",1359281259071
java.specification.name,sysinfo,,,"Java Platform API Specification",1359281259071
java.specification.vendor,sysinfo,,,"Oracle Corporation",1359281259071
java.specification.version,sysinfo,,,"1.7",1359281259071
java.vendor,sysinfo,,,"Oracle Corporation",1359281259071
